股票代码,股票简称,个股热度[20250708],个股热度排名[20250708],market_code,code,最新价,最新涨跌幅
601113.SH,华鼎股份,1398.0,4399,17,601113,4.06,0
300049.SZ,福瑞股份,1395.0,4400,33,300049,32.28,0.529430084
301112.SZ,信邦智能,1394.5,4401,33,301112,35.61,0.536420102
300329.SZ,海伦钢琴,1394.0,4402,33,300329,7.85,-1.133501259
301016.SZ,雷尔伟,1393.5,4403,33,301016,17.14,-0.232828871
000517.SZ,荣安地产,1393.0,4404,33,000517,1.88,1.075268817
688702.SH,盛科通信,1392.0,4405,17,688702,58.5,2.236980077
001366.SZ,播恩集团,1389.0,4407,33,001366,12.58,1.125401929
300286.SZ,安科瑞,1389.0,4406,33,300286,22.7,-0.394910048
300958.SZ,建工修复,1386.0,4409,33,300958,13.24,0.53151101
603231.SH,索宝蛋白,1386.0,4408,17,603231,16.94,-0.05899705
688107.SH,安路科技,1385.0,4410,17,688107,27.36,1.146025878
603700.SH,宁水集团,1384.0,4411,17,603700,12.02,0.501672241
001228.SZ,永泰运,1383.0,4412,33,001228,25.26,0.357568534
688798.SH,艾为电子,1382.5,4413,17,688798,66.83,1.658046851
836077.BJ,吉林碳谷,1380.0,4414,151,836077,14.18,0.781805259
688700.SH,东威科技,1379.0,4416,17,688700,41.49,1.145782545
837046.BJ,亿能电力,1379.0,4415,151,837046,17.38,-1.137656428
002012.SZ,凯恩股份,1378.0,4418,33,002012,5.55,-0.179856115
688691.SH,灿芯股份,1378.0,4417,17,688691,58.32,0.795022468
600599.SH,*ST熊猫,1377.5,4419,22,600599,7.76,-0.128700129
600648.SH,外高桥,1377.0,4420,17,600648,10.95,0
301177.SZ,迪阿股份,1375.0,4421,33,301177,29.84,0.640809444
301326.SZ,捷邦科技,1373.5,4422,33,301326,75.36,0.239425379
000809.SZ,和展能源,1371.0,4423,33,000809,3.14,0
300653.SZ,正海生物,1367.5,4424,33,300653,20.85,1.213592233
300549.SZ,优德精密,1363.5,4425,33,300549,18.35,1.493362832
834475.BJ,三友科技,1363.0,4426,151,834475,22.6,1.664417454
002282.SZ,博深股份,1362.5,4428,33,002282,7.62,0.527704485
002991.SZ,甘源食品,1362.5,4427,33,002991,61.46,0.721075057
301567.SZ,贝隆精密,1362.0,4429,33,301567,42.53,1.455152672
001277.SZ,速达股份,1360.5,4430,33,001277,44.33,0.475974615
688035.SH,德邦科技,1360.0,4431,17,688035,40.04,1.572805682
002047.SZ,*ST宝鹰,1359.0,4434,33,002047,1.98,-1
688191.SH,智洋创新,1359.0,4433,17,688191,25.99,3.216838761
920128.BJ,胜业电气,1359.0,4432,151,920128,36.27,0.777993887
301098.SZ,金埔园林,1358.0,4435,33,301098,9.25,0.108225108
600561.SH,江西长运,1356.0,4436,17,600561,6.62,0.15128593
300211.SZ,*ST亿通,1355.0,4437,33,300211,6.65,1.217656012
300239.SZ,东宝生物,1354.5,4439,33,300239,5.78,1.22591944
300885.SZ,海昌新材,1354.5,4438,33,300885,13.58,0.891530461
000703.SZ,恒逸石化,1352.5,4440,33,000703,5.87,0.341880342
000551.SZ,创元科技,1350.0,4441,33,000551,10.7,0.848256362
301111.SZ,粤万年青,1349.0,4443,33,301111,16.56,1.782421635
688593.SH,新相微,1349.0,4442,17,688593,15.8,2.597402597
603230.SH,内蒙新华,1348.5,4444,17,603230,13.09,-0.152555301
300985.SZ,致远新能,1348.0,4446,33,300985,17.78,1.080159181
301127.SZ,武汉天源,1348.0,4445,33,301127,17.18,1.897983393
601801.SH,皖新传媒,1346.5,4447,17,601801,6.85,0.439882698
605303.SH,园林股份,1345.5,4448,17,605303,13.08,-0.076394194
001202.SZ,炬申股份,1344.5,4449,33,001202,13.15,0.381679389
688488.SH,艾迪药业,1343.5,4450,17,688488,14.15,-0.070621469
688157.SH,松井股份,1342.0,4451,17,688157,39.82,4.159037405
300784.SZ,利安科技,1341.5,4453,33,300784,53.39,1.5405097
688258.SH,卓易信息,1341.5,4452,17,688258,46.1,4.275050893
301185.SZ,鸥玛软件,1341.0,4454,33,301185,19.52,0.618556701
688786.SH,悦安新材,1339.5,4455,17,688786,23.43,4.411764706
920027.BJ,交大铁发,1338.0,4456,151,920027,29.03,0.241712707
603321.SH,梅轮电梯,1337.0,4457,17,603321,7.91,0.76433121
300912.SZ,凯龙高科,1336.5,4459,33,300912,15.21,0.329815303
688535.SH,华海诚科,1336.5,4458,17,688535,81.38,-0.134985888
300388.SZ,节能国祯,1335.5,4460,33,300388,7.19,1.553672316
600084.SH,中信尼雅,1334.5,4461,17,600084,5.59,0.720720721
002884.SZ,凌霄泵业,1334.0,4462,33,002884,15.97,0.377121307
002818.SZ,富森美,1333.5,4463,33,002818,12.54,-0.159235669
000007.SZ,全新好,1332.0,4464,33,000007,7.28,0.691562932
301283.SZ,聚胶股份,1331.5,4465,33,301283,34.09,0.058702671
002656.SZ,*ST摩登,1331.0,4467,33,002656,2.39,1.271186441
300891.SZ,惠云钛业,1331.0,4466,33,300891,9.5,0.8492569
000619.SZ,海螺新材,1330.5,4468,33,000619,6.2,0.81300813
688179.SH,阿拉丁,1329.5,4469,17,688179,12.93,0.700934579
002322.SZ,理工能科,1329.0,4470,33,002322,12.5,0.482315113
000089.SZ,深圳机场,1327.5,4471,33,000089,6.92,-0.288184438
600665.SH,天地源,1325.5,4472,17,600665,3.42,0.884955752
300143.SZ,盈康生命,1324.5,4473,33,300143,9.71,0.517598344
688510.SH,航亚科技,1322.0,4474,17,688510,23.39,-0.468085106
002356.SZ,赫美集团,1321.5,4475,33,002356,3.05,1.666666667
000010.SZ,美丽生态,1321.0,4476,33,000010,2.99,0.33557047
