股票代码,股票简称,最新价,最新涨跌幅,涨停[20250619],首次涨停时间[20250619],最终涨停时间[20250619],涨停明细数据[20250619],连续涨停天数[20250619],涨停原因类别[20250619],涨停封单量[20250619],涨停封单额[20250619],涨停封单量占成交量比[20250619],涨停封单量占流通a股比[20250619],涨停开板次数[20250619],a股市值(不含限售股)[20250619],几天几板[20250619],涨停类型[20250619],market_code,code
301292.SZ,海科新源,19.6,20.024494795,涨停, 09:36:39, 09:36:39,"[{""code"":""301292.SZ"",""time"":1750296999000,""openTime"":null,""duration"":3867000,""updatedTime"":1750300866000,""firstVol"":4.62376E7,""highestVol"":4.6543904E7,""firstVolDivLTGB"":0.5432051680101903,""firstVolDivVol"":7.109106,""highestVolDivLTGB"":0.5468036661109177,""highestVolDivVol"":7.005623}]",1,固态电池+锂电池材料,13060200,255981880,78.96285271851758,15.343405487662611,0,1668351100.000,首板涨停,放量涨停,33,301292
002125.SZ,湘潭电化,11.17,10.049261084,涨停, 09:30:21, 09:30:21,"[{""code"":""002125.SZ"",""time"":1750296621000,""openTime"":null,""duration"":4248000,""updatedTime"":1750300869000,""firstVol"":161500.0,""highestVol"":3.15073E7,""firstVolDivLTGB"":2.565602727842866E-4,""firstVolDivVol"":0.030675,""highestVolDivLTGB"":0.05005276459873902,""highestVolDivVol"":2.787525}]",1,锰酸锂+固态电池+国企改革,23900300,266966351,140.11576082630094,3.796821973762406,0,7031310700.000,首板涨停,放量涨停,33,002125
605298.SH,必得科技,14.15,10.031104199,涨停, 10:13:45, 10:13:45,"[{""code"":""605298.SH"",""time"":1750299225000,""openTime"":null,""duration"":1641000,""updatedTime"":1750300866000,""firstVol"":2.78311E7,""highestVol"":2.78311E7,""firstVolDivLTGB"":0.1507218984901328,""firstVolDivVol"":8.651138,""highestVolDivLTGB"":0.1507218984901328,""highestVolDivVol"":8.651138}]",1,高铁+轨交设备+江苏,15400040,217910566,258.7761432540679,8.34003422654507,0,2612825800.000,首板涨停,放量涨停,17,605298
000637.SZ,茂化实华,4.43,9.925558313,涨停, 09:30:45, 09:30:45,"[{""code"":""000637.SZ"",""time"":1750296645000,""openTime"":null,""duration"":4224000,""updatedTime"":1750300869000,""firstVol"":8.59945E7,""highestVol"":8.59945E7,""firstVolDivLTGB"":0.23367165491999758,""firstVolDivVol"":8.113247,""highestVolDivLTGB"":0.23367165491999758,""highestVolDivVol"":8.113247}]",1,石化主业+多元化发展+亏损改善,27647879,122480103.97,121.75825270505717,7.5127195820172785,0,1630303100.000,首板涨停,放量涨停,33,000637
000020.SZ,深华发A,16.68,10.026385224,涨停, 09:30:12, 09:35:06,"[{""code"":""000020.SZ"",""time"":1750296612000,""openTime"":1750296633000,""duration"":18000,""updatedTime"":1750296633000,""firstVol"":1929033.0,""highestVol"":4315700.0,""firstVolDivLTGB"":0.010647911222734589,""firstVolDivVol"":0.309643,""highestVolDivLTGB"":0.02382187887089317,""highestVolDivVol"":0.64022},{""code"":""000020.SZ"",""time"":1750296654000,""openTime"":1750296699000,""duration"":42000,""updatedTime"":1750296699000,""firstVol"":417000.0,""highestVol"":4726800.0,""firstVolDivLTGB"":0.0023017641377209843,""firstVolDivVol"":0.036006,""highestVolDivLTGB"":0.026091076081965345,""highestVolDivVol"":0.385859},{""code"":""000020.SZ"",""time"":1750296714000,""openTime"":1750296900000,""duration"":183000,""updatedTime"":1750296900000,""firstVol"":989800.0,""highestVol"":5627800.0,""firstVolDivLTGB"":0.0054635159316935985,""firstVolDivVol"":0.068382,""highestVolDivLTGB"":0.03106443216850397,""highestVolDivVol"":0.37466},{""code"":""000020.SZ"",""time"":1750296906000,""openTime"":null,""duration"":3963000,""updatedTime"":1750300869000,""firstVol"":284500.0,""highestVol"":5196599.0,""firstVolDivLTGB"":0.0015703882426417748,""firstVolDivVol"":0.016376,""highestVolDivLTGB"":0.028684281094284725,""highestVolDivVol"":0.295808}]",3,液晶专显+年报倍增+深圳城市更新,3413932,56994425.76,17.70276670094075,1.8860843018300333,3,3021838700.000,3天3板,放量涨停,33,000020
002514.SZ,宝馨科技,6.16,10,涨停, 09:49:54, 10:16:54,"[{""code"":""002514.SZ"",""time"":1750297794000,""openTime"":1750299339000,""duration"":1542000,""updatedTime"":1750299339000,""firstVol"":1.127176E8,""highestVol"":1.15880098E8,""firstVolDivLTGB"":0.20344878886407647,""firstVolDivVol"":7.636575,""highestVolDivLTGB"":0.20915691597009242,""highestVolDivVol"":7.302417},{""code"":""002514.SZ"",""time"":1750299372000,""openTime"":1750299387000,""duration"":12000,""updatedTime"":1750299387000,""firstVol"":2.78039E7,""highestVol"":3.0204E7,""firstVolDivLTGB"":0.05018444130018644,""firstVolDivVol"":0.72706,""highestVolDivLTGB"":0.05451648383970707,""highestVolDivVol"":0.788455},{""code"":""002514.SZ"",""time"":1750299414000,""openTime"":null,""duration"":1455000,""updatedTime"":1750300869000,""firstVol"":4.07877E7,""highestVol"":5.02092E7,""firstVolDivLTGB"":0.07361945397658655,""firstVolDivVol"":0.96191,""highestVolDivLTGB"":0.09062471991804463,""highestVolDivVol"":1.145447}]",1,HJT电池+TOPCON电池+智能制造+光储充换一体化,13273600,81765376,27.01231259751575,2.39580850183663,2,3412851100.000,首板涨停,放量涨停,33,002514
002476.SZ,宝莫股份,5.23,10.105263158,涨停, 09:50:51, 09:55:36,"[{""code"":""002476.SZ"",""time"":1750297851000,""openTime"":1750297944000,""duration"":90000,""updatedTime"":1750297944000,""firstVol"":8.86096E7,""highestVol"":8.86096E7,""firstVolDivLTGB"":0.14480350242703433,""firstVolDivVol"":4.301419,""highestVolDivLTGB"":0.14480350242703433,""highestVolDivVol"":4.301419},{""code"":""002476.SZ"",""time"":1750297959000,""openTime"":1750297983000,""duration"":21000,""updatedTime"":1750297983000,""firstVol"":7.53649E7,""highestVol"":8.15224E7,""firstVolDivLTGB"":0.12315935835466135,""firstVolDivVol"":2.50013,""highestVolDivLTGB"":0.13322178461766743,""highestVolDivVol"":2.667313},{""code"":""002476.SZ"",""time"":1750298028000,""openTime"":1750298118000,""duration"":87000,""updatedTime"":1750298118000,""firstVol"":1.12398E7,""highestVol"":3.04185E7,""firstVolDivLTGB"":0.018367788666006624,""firstVolDivVol"":0.289513,""highestVolDivLTGB"":0.04970912111753968,""highestVolDivVol"":0.748531},{""code"":""002476.SZ"",""time"":1750298136000,""openTime"":null,""duration"":2733000,""updatedTime"":1750300869000,""firstVol"":4.05121E7,""highestVol"":6.30193E7,""firstVolDivLTGB"":0.06620381957117805,""firstVolDivVol"":0.865605,""highestVolDivLTGB"":0.10298450010495483,""highestVolDivVol"":1.310454}]",1,石油加工贸易+精细化工+一季报净利增长,22331500,116793745,38.55382315559938,3.649355616602848,3,3200393600.000,首板涨停,放量涨停,33,002476
600463.SH,空港股份,10.95,10.050251256,涨停, 09:25:02, 09:25:02,"[{""code"":""600463.SH"",""time"":1750296302000,""openTime"":null,""duration"":4275000,""updatedTime"":1750300868000,""firstVol"":1.56758E7,""highestVol"":1.56758E7,""firstVolDivLTGB"":0.05225266666666667,""firstVolDivVol"":6.188386,""highestVolDivLTGB"":0.05225266666666667,""highestVolDivVol"":6.188386}]",1,拟重大资产重组+园区运营+科技服务转型+国企,9604900,105280965,149.0518311607697,3.2049000000000003,0,3285000000.000,首板涨停,一字涨停||缩量涨停,17,600463
002268.SZ,电科网安,17.83,9.993830969,涨停, 09:36:09, 09:36:09,"[{""code"":""002268.SZ"",""time"":1750296969000,""openTime"":null,""duration"":3900000,""updatedTime"":1750300869000,""firstVol"":7.5891792E7,""highestVol"":9.7119892E7,""firstVolDivLTGB"":0.0897671010711393,""firstVolDivVol"":3.54783,""highestVolDivLTGB"":0.11487633815765126,""highestVolDivVol"":4.373697}]",1,数字货币+车联网+卫星导航+央企,34115582,608280827.06,118.91574018348665,4.035293958396371,0,15074015000.000,首板涨停,放量涨停,33,002268
002207.SZ,准油股份,10.05,9.956236324,涨停, 09:30:15, 09:30:15,"[{""code"":""002207.SZ"",""time"":1750296615000,""openTime"":null,""duration"":4254000,""updatedTime"":1750300869000,""firstVol"":6694698.0,""highestVol"":2.5599698E7,""firstVolDivLTGB"":0.025669106268375614,""firstVolDivVol"":0.192999,""highestVolDivLTGB"":0.09815549086759742,""highestVolDivVol"":0.70585}]",5,油气服务+订单增长+国企改革,15796199,158751799.95,40.508859311152605,6.0566482725196655,0,2621116400.000,5天5板,放量涨停,33,002207
002805.SZ,丰元股份,13.05,10.033726813,涨停, 09:33:03, 09:33:03,"[{""code"":""002805.SZ"",""time"":1750296783000,""openTime"":null,""duration"":4086000,""updatedTime"":1750300869000,""firstVol"":4.11197E7,""highestVol"":4.11197E7,""firstVolDivLTGB"":0.1474800606184772,""firstVolDivVol"":5.259969,""highestVolDivLTGB"":0.1474800606184772,""highestVolDivVol"":5.259969}]",1,固态电池+锂电池正极材料+磷酸铁锂+草酸,21372530,278911516.5,157.72646601948912,7.665479125504862,0,3638539900.000,首板涨停,放量涨停,33,002805
605268.SH,王力安防,9.92,9.977827051,涨停, 09:34:29, 10:00:56,"[{""code"":""605268.SH"",""time"":1750296869000,""openTime"":1750296887000,""duration"":15000,""updatedTime"":1750296887000,""firstVol"":1.70183E7,""highestVol"":1.70183E7,""firstVolDivLTGB"":0.03888153028498645,""firstVolDivVol"":7.283329,""highestVolDivLTGB"":0.03888153028498645,""highestVolDivVol"":7.283329},{""code"":""605268.SH"",""time"":1750298456000,""openTime"":null,""duration"":2412000,""updatedTime"":1750300868000,""firstVol"":1.50355E7,""highestVol"":1.63904E7,""firstVolDivLTGB"":0.03435144806472525,""firstVolDivVol"":0.917159,""highestVolDivLTGB"":0.03744697378604454,""highestVolDivVol"":0.996501}]",1,智能家居+湖北扩产+一季报增长,4286893,42525978.56,18.66149227929503,0.979421916454619,1,4341946800.000,首板涨停,放量涨停,17,605268
